1	17748
2	15422
4	40585
5	18099
6	17854
7	52882
8	52847
9	24593
10	52910
11	495055
12	15956
13	58988
14	64428
15	64428
16	64428
19	7508
21	49960
50	50397
150	42082
282	28368
286	15640
517	44032
519	63621
558	63628
577	40050
768	50438
772	41033
1434	63613
1944	4379
2337	44143
2483	119486
2579	15738
2691	41059
3033	51913
3175	38912
3532	75404
3909	44215
4078	4775
4350	64340
4354	51689
4374	36090
4375	16433
4377	49168
4552	39112
4566	51723
4568	51723
4569	51723
4570	51723
4571	51723
4572	51723
4573	51723
4574	51723
4575	51723
4576	51723
4577	51723
4578	51723
4579	51723
4580	51723
4581	51723
4582	51723
4655	49960
4706	28062
4779	61399
4814	38940
4882	63449
4934	50663
4994	73139
5025	7798
5445	49603
5446	114785
5447	49668
6190	63448
6568	49791
6645	27623
7457	42567
7458	18388
7459	15864
7460	16243
7461	75095
7462	28499
7478	49840
7802	16072
7812	474859
7813	41456
7814	9307
7822	50992
7837	27612
7875	51846
7882	16069
7884	113454
7939	36641
7944	16984
7949	28483
7950	32535
7952	16255
7953	32535
7960	27822
7966	18295
7968	17141
7971	44730
7972	30347
7973	16000
8125	367163
8509	58001
8512	58001
8580	7489
8582	16973
8610	48339
8726	164200
8885	17347
8903	17026
8958	313639
8960	53289
8961	45980
9019	16796
9460	2654
9461	17574
10015	2704
10042	15554
10246	59385
10300	29067
10404	42944
10458	52884
10515	16494
10620	8874
10656	29067
10755	28790
10758	18397
10759	15355
10847	28177
10849	27732
10851	17489
10856	16526
10857	45373
10859	51094
10880	27690
10882	101096
10883	101085
10884	4702
10885	3176
10887	63631
10888	10127
10989	63620
10990	73472
10999	40538
11021	28600
11022	27539
11023	27953
11118	43666
11293	51689
11304	42403
11316	3682
11318	42223
11402	51908
11555	39505
11558	39484
11638	32168
11639	41423
11658	39955
11939	18009
11940	28223
12311	68621
12342	28794
12345	41804
12414	52916
12578	46557
12590	8452
12591	41033
12915	65329
12996	68579
13014	160129
13015	16343
13061	6413
13063	63634
13066	47381
13158	4778
13216	49375
13472	47379
13513	40237
13530	45783
13739	16962
13775	17650
13925	46414
13934	37924
14029	75393
14062	3757
14321	15815
14339	29067
14340	29067
14341	29067
14342	29067
14343	29067
14344	29067
14345	29067
14346	29067
14355	29067
14356	29067
14358	58001
14361	104872
14390	9139
14391	16356
14487	16335
14671	52915
14672	30769
14673	25134
14674	30873
14675	37548
14677	225282
14700	52020
14712	68540
14754	28241
14769	46548
14774	47657
14777	71940
15210	43561
15211	47495
15234	52289
15236	18152
15296	50693
15336	34795
15346	27906
15359	64153
15361	556075
15579	50217
